#Date/Time;of;Update:;2017-11-20;3:07:27;PM;#Player;ID;#LastName;#FirstName;#Jersey;Num;#Position;#Height;#Weight;#Birth;Date;#Age;#Birth;City;#Birth;Country;#Rookie;#Team;ID;#Team;Abbr.;#Team;City;#Team;Name
;9263;Crawford;Jamal;11;SG;"6'5""";195;1980-03-19;37;;;N;100;MIN;Minnesota;Timberwolves;;;;;;;;;;;;;;
;12221;Crawford;Jordan;;SG;;;;;;;N;110;NOP;New;Orleans;Pelicans;;;;;;;;;;;;;
;9107;Crowder;Jae;99;SF;"6'6""";235;1990-07-05;27;;;N;86;CLE;Cleveland;Cavaliers;;;;;;;;;;;;;;
;9359;Cunningham;Dante;44;SF;"6'8""";230;1987-04-22;30;;;N;110;NOP;New;Orleans;Pelicans;;;;;;;;;;;;;
;9467;Curry;Seth;30;PG;"6'2""";185;1990-08-23;27;Charlotte, NC;USA;N;108;DAL;Dallas;Mavericks;;;;;;;;;;;;;;
;9218;Curry;Stephen;30;PG;"6'3""";185;1988-03-14;29;Akron, Ohio;USA;N;101;GSW;Golden;State;Warriors;;;;;;;;;;;;;
;9136;Daniels;Troy;30;SG;"6'4""";204;1991-07-14;26;Roanoke, VA;USA;N;104;PHX;Phoenix;Suns;;;;;;;;;;;;;;
;13868;Da;Silva;Felicio;Cristiano;6;PF;"6'9""";266;1992-07-07;25;;;Y;89;CHI;Chicago;Bulls;;;;;;;;;;;;
;9453;Davis;Ed;17;PF;"6'10""";240;1989-06-05;28;;;N;97;POR;Portland;Trail;Blazers;;;;;;;;;;;;;
;9354;Davis;Anthony;23;PF;"6'10""";253;1993-03-11;24;;;N;110;NOP;New;Orleans;Pelicans;;;;;;;;;;;;;
;10132;Davis;Deyonta;23;F;"6'10""";240;1996-12-02;20;;;N;107;MEM;Memphis;Grizzlies;;;;;;;;;;;;;;
;9274;Dawson;Branden;22;PF;"6'6""";225;1993-02-01;24;Gary, IN;USA;N;95;ORL;Orlando;Magic;;;;;;;;;;;;;;
;9404;Dedmon;Dewayne;14;C;"7'0""";245;1989-08-11;28;Lancaster, CA;USA;N;91;ATL;Atlanta;Hawks;;;;;;;;;;;;;;
;9238;Dekker;Sam;7;SF;"6'9""";230;1994-05-05;23;;;N;102;LAC;Los;Angeles;Clippers;;;;;;;;;;;;;
;10154;Delaney;Malcolm;5;G;"6'3""";190;1989-03-11;28;;;N;91;ATL;Atlanta;Hawks;;;;;;;;;;;;;;
;9166;Dellavedova;Matthew;8;PG;"6'4""";200;1990-09-08;27;Maryborough;Australia;N;90;MIL;Milwaukee;Bucks;;;;;;;;;;;;;;
;9307;Deng;Luol;19;PF;"6'9""";220;1985-04-16;32;Wau;Sudan;N;105;LAL;Los;Angeles;Lakers;;;;;;;;;;;;;
;13769;de;Paula;George;;PG;"6'6""";194;;;Diadema;Brazil;Y;109;HOU;Houston;Rockets;;;;;;;;;;;;;
;9489;DeRozan;DeMar;10;SG;"6'7""";220;1989-08-07;28;Compton, CA;USA;N;81;TOR;Toronto;Raptors;;;;;;;;;;;;;;
